id=PlayerFlat.ProgressButton,hash=455466111
id=PlayerFlat.StarRating.Default,hash=1981687998
id=PlayerFlat.StarRating.Lowlight,hash=-506063707
id=PlayerFlat.SpectrumDefault,hash=1049614006
id=PlayerFlat.SpectrumDead,hash=-1610230520
id=PlayerFlat.SpectrumLow,hash=-887428703
id=PlayerFlat.SpectrumMedium,hash=-1681359987
id=PlayerFlat.SpectrumHigh,hash=1607027776
id=PlayerFlat.Control.Default,hash=-156633259
id=PlayerFlat.Control.Disabled,hash=558150028
id=PlayerFlat.Control.Highlight,hash=-197033539
id=PlayerFlat.Volume,hash=123611227
id=PlayerFlat.VolumeButton,hash=-381806787
id=PlayerFlat.VolumeSlider,hash=-1795709160
id=PlayerTopFlat.Background,hash=-1466577072
id=PlayerTopFlat.DisplayPanel,hash=1300540649
id=PlayerTopFlat.ProgressBar,hash=540612690
id=PlayerTopFlat.ProgressButton,hash=1427648525
id=PlayerTopFlat.StarRating.Default,hash=-1843223688
id=PlayerTopFlat.StarRating.Lowlight,hash=846742386
id=PlayerTopFlat.SpectrumDefault,hash=-1044803725
id=PlayerTopFlat.SpectrumDead,hash=-848385286
id=PlayerTopFlat.SpectrumLow,hash=713098800
id=PlayerTopFlat.SpectrumMedium,hash=110965557
id=PlayerTopFlat.SpectrumHigh,hash=1529689012
id=PlayerTopFlat.Control.Default,hash=-1879096233
id=PlayerTopFlat.Control.Disabled,hash=868256088
id=PlayerTopFlat.Control.Highlight,hash=-557446194
id=PlayerTopFlat.Volume,hash=525896829
id=PlayerTopFlat.VolumeButton,hash=-508949605
id=PlayerTopFlat.VolumeSlider,hash=-726893351
id=PlayerSidebar.Background,hash=431369991
id=Sidebar.Body.Default,hash=1989645985
id=PlayerSidebar.Control.Default,hash=-1381143577
id=PlayerSidebar.Control.Disabled,hash=-260275644
id=PlayerSidebar.Control.Highlight,hash=-239257401
id=PlayerSidebar.Volume,hash=-1410451005
id=PlayerSidebar.VolumeButton,hash=-1031812297
id=PlayerSidebar.ProgressBar,hash=-1426442478
id=PlayerSidebar.ProgressButton,hash=351526093
id=Player.SpectrumVisualiser,hash=-1421301485
id=Player.Wavebar,hash=2115215608
id=Player.Wavebar.Inner,hash=1284560558
id=MiniPlayer.Background,hash=1205935054
id=MiniPlayer.StarRating.Default,hash=-703509455
id=MiniPlayer.StarRating.Lowlight,hash=-32533758
id=PlayerMini.ProgressButton,hash=1963946163
id=Compact.LeftPanel,hash=-612228456
id=Compact.RightPanel.Default,hash=-1897078859
id=Compact.RightPanel.Disabled,hash=-384270569
id=Compact.RightPanel.Highlight,hash=-1067224421
id=Compact.RightPanel.Lowlight,hash=-1349464001
id=Compact.Player.Background,hash=669577116
id=Compact.Player.ProgressBar,hash=2072665534
id=Compact.Player.ProgressButton,hash=-1061050519
id=Compact.Player.Control.Default,hash=341315186
id=Compact.Player.Control.Disabled,hash=-760204005
id=Compact.Player.Control.Highlight,hash=583969005
id=Compact.Player.Volume,hash=1065795385
id=Compact.Player.Wavebar,hash=-1301580597
id=Compact.Player.Wavebar.Inner,hash=-699304144
id=Compact.Player.MetroButton.Default,hash=-1162046685
id=Compact.Player.MetroButton.Highlight,hash=-1737676896
id=InputPanel.Default,hash=1033908931
id=InputPanel.Highlight,hash=-1287843368
id=Controls.FaintLine,hash=-542863183
id=Controls.VerticalMenu.Default,hash=1058835523
id=Controls.VerticalMenu.Highlight,hash=668395143
id=Controls.VerticalMenu.Lowlight,hash=-2127997214
id=Controls.ListHeader,hash=-1027834157
id=Controls.DropdownButton.Default,hash=1509018876
id=Controls.DropdownButton.Disabled,hash=1981572331
id=Controls.InputControl.Default,hash=1299922867
id=Controls.InputControl.Disabled,hash=1849223614
id=Controls.InputControl.Highlight,hash=1258594140
id=Controls.InputControl.Lowlight,hash=676395226
id=Controls.LockedInputControl.Default,hash=1050111043
id=Controls.LockedInputControl.Disabled,hash=1374263600
id=Controls.SystemInputControl.Highlight,hash=-1179890632
id=Controls.RadioButton.Default,hash=1414196927
id=Controls.RadioButton.Disabled,hash=-545742922
id=Controls.Button.Default,hash=2025422523
id=Controls.Button.Disabled,hash=1634577882
id=Controls.SliderLine.Default,hash=527406995
id=Controls.SliderLine.Disabled,hash=871078944
id=Controls.SliderButton.Default,hash=-996507976
id=Controls.SliderButton.Disabled,hash=391582139
id=InputScrollBarMargin,hash=-111917987
id=Controls.ScrollBar.Default,hash=665396152
id=Controls.ScrollBarThumb.Default,hash=1402194620
id=Controls.ScrollBarBackground.Default,hash=1817408247
id=AutoDjPanel.SectionHeader.Default,hash=-1840676953
id=AutoDjPanel.Default,hash=-1826647809
id=Controls.ProgressBar,hash=101213145
id=Controls.ProgressBarButton,hash=1946504079
id=Controls.ProgressBarContainer,hash=1824562732
id=EditPanel.Default,hash=1217133243
id=EditPanel.Highlight,hash=-181223496
id=Controls.TabHeader.Default,hash=323589230
id=Controls.TabHeader.Highlight,hash=-1382727689
id=Controls.TabHeader.Lowlight,hash=-195782889
id=Toolbar.Background,hash=54555353
id=Toolbar.Body,hash=216045803
id=Toolbar.Counter,hash=-1350051088
id=Toolbar.MenuTextOverride,hash=928297396
id=Controls.StarRating.Default,hash=1109605343
id=Menu.CommandButton.Default,hash=396634296
id=Menu.CommandButton.Selected,hash=-467868514
id=TagEditorPanel.Header,hash=1809528558
id=NowPlayingPopup.Border,hash=-2076578551
id=NowPlayingPopup.Body,hash=1925706246
id=Panel.ChildHeaderPlayerControl.Default,hash=415487888
id=Panel.ChildHeaderPlayerControl.Disabled,hash=292077184
id=Panel.ChildHeaderPlayerControl.Highlight,hash=-316002286
id=NavigatorPanel.Body.Default,hash=1247805037
id=UseNativeButtonTheme,hash=-545041604
id=UseSystemColors,hash=976337283
id=DisableWindowBorders,hash=-1261775554
id=UseNativeButtonTheme,hash=-545041604
id=Panel.ChildHeader.HeightAdjustment,hash=-414518347
id=UseRoundedWindowBorders,hash=-946545310
id=UseSquareCaptionBorders,hash=-178392876
id=ClassicNewTabButton,hash=2012654938
id=UseSquareTabCorners,hash=-1378515669
id=MusicLibrary,hash=558083821,bitmap len=3229
id=BookmarksIcon,hash=-1619180584
id=PodcastsIcon,hash=-1204589671
id=RadioIcon,hash=-1708333759
id=AudiobooksIcon,hash=-662801112
id=VideoIcon,hash=-1675569859
id=InboxIcon,hash=187421471
id=PlayHistoryIcon,hash=507454711
id=DownloadsIcon,hash=-289251734
id=PlaylistNowPlayingIcon,hash=-227740274
id=PlaylistAutoDjIcon,hash=246813575
id=PlaylistIcon,hash=-1108012255
id=PlaylistAutoIcon,hash=-721226683
id=PlaylistMixerIcon,hash=-1990086960
id=UpcomingReleasesIcon,hash=-1915061455
id=SearchResultsIcon,hash=2039839038
id=PlayingTrack,hash=-1276393323
id=PlayingTrackInTab,hash=-1907093609
id=Visualiser,hash=438517797
id=EditSave,hash=-670367035,bitmap len=674
id=Delete,hash=432759908
id=WaitIndicator,hash=685456220,bitmap len=1849
id=InProgressIndicator,hash=-2125520935,bitmap len=3715
id=FormBorderBottom,hash=600796000,bitmap len=167
id=FormBorderBottomLeft,hash=417864278,bitmap len=167
id=FormBorderBottomRight,hash=32512621,bitmap len=167
id=FormBorderLeft,hash=1247246715,bitmap len=165
id=FormBorderRight,hash=1652300762,bitmap len=165
id=FormBorderTop,hash=2043008185,bitmap len=224
id=FormBorderTopLeft,hash=294702731,bitmap len=237
id=FormBorderTopRight,hash=680370427,bitmap len=237
id=FormMaximiseButton,hash=1289881645,bitmap len=271
id=FormMinimiseButton,hash=107356311,bitmap len=242
id=FormRestoreButton,hash=1865602263,bitmap len=291
id=FormHelpButton,hash=-1711945127,bitmap len=284
id=FormCloseButton,hash=-729753283,bitmap len=270
id=FormHelpHighlightButton,hash=-1341048544,bitmap len=283
id=FormMinimiseHighlightButton,hash=-838161554,bitmap len=241
id=FormMaximiseHighlightButton,hash=-100845625,bitmap len=270
id=FormRestoreHighlightButton,hash=1930140599,bitmap len=290
id=FormCloseHighlightButton,hash=-1035803836,bitmap len=270
id=AzJump,hash=960882802,bitmap len=960
id=MiniPlayerLastFmLoveBright,hash=-535312797,bitmap len=263
id=MiniPlayerLastFmNotLove,hash=-1843638382,bitmap len=263
id=CheckTick,hash=-663114390,bitmap len=2969
id=CheckTickDisabled,hash=1513069963,bitmap len=2905
id=NoArtwork,hash=-888402318,bitmap len=117473
id=UnknownArtist,hash=-1744040843
player panel
id=Panel,enum=0
id=PrevTrackButton,enum=1
id=PlayPauseButton,enum=2
id=NextTrackButton,enum=3
id=StopTrackButton,enum=4
id=Speaker,enum=5
id=VolumeSlidebar,enum=6
id=TrackInfoPanel,enum=8
id=Spectrum,enum=9
id=TrackInfoButton,enum=10
id=TrackText,enum=11
id=TrackLove,enum=12
id=TrackRating,enum=13
id=TrackPosition,enum=14
id=ProgressBar,enum=15
id=EqualiserButton,enum=16
id=LastFmButton,enum=17
id=RepeatButton,enum=18
id=ShuffleButton,enum=19
